seller_name,item,brand,condition,price
LiteLuck Enterprises,Wireless Controller Gamepad,,Brand New,"KSh 1,500"
Evans Gg,Lenovo Legion Go 2 Z2 Extreme 1Tb,Lenovo,Used,"KSh 199,998"
LiteLuck Enterprises,7 in 1 Wireless Gamepads,Other,Brand New,"KSh 1,500"
Steve M,Ps4 Slim With One Console,,Used,"KSh 28,500"
Peanto Electronics Ke,Sony Playstation 5 Dualsense Ps5 Controller,,Brand New,"KSh 10,000"
Daveric Gamers,120 by 120 by 1.0mm Thermalright Pad,Other,Brand New,"KSh 2,000"
ELLA ELITE,V8 Gamepad,Other,Brand New,"KSh 1,599"
serene vendors,Rog Xbox Ally X,Microsoft,Brand New,"KSh 146,000"
Steve M,PS2 Station for Sale,,Used,"KSh 7,000"
LiteLuck Enterprises,Ps4 Gamepads,Other,Brand New,"KSh 1,600"
Caisi Africa,Sandisk Extreme Pro 128gb/200mbs Micro Sd,Other,Brand New,"KSh 5,500"
ETGL,Sony Playstation 5-Ps5,Sony,Brand New,"KSh 92,999"
Steve M,PS3 160GB Black – Preowned,,Used,"KSh 23,000"
serene vendors,Ps5 Ghost of Yotei Version,Sony,Brand New,"KSh 107,000"
serene vendors,Playstation Portal,,Brand New,"KSh 37,000"
Nyamakima Online Market,"Play Station 4,dual Shock 4, Wireless Controller",,Brand New,"KSh 1,500"
ETGL,"PXN V99 Force Feedback Steering Wheel Pc,Xbox",,Brand New,"KSh 28,299"
Peanto Electronics Ke,Meta Quest 3s 256gb,,Brand New,"KSh 53,000"
Kareng Supplies,Sony Dualshock Ps4 Wireless Controller,Sony,Brand New,"KSh 2,500"
Peanto Electronics Ke,Sony Playstation 5 Disc Edition (Slim),Sony,Brand New,"KSh 90,000"
ETGL,Logitech Driving Force Gear Shifter for G29 Racing Wheel,,Brand New,"KSh 34,999"
ELLA ELITE,M8 Game Box,,Brand New,"KSh 3,000"
ELLA ELITE,M15 Game Gamestick/Gamepad/Console,,Brand New,"KSh 2,800"
Hommly Network,Dual Shock Ps4 Wireless Pad White,Other,Brand New,"KSh 2,500"
